,resource_id,last_purchase,last_update,first_created,total_qty,purchases_qty,promo_qty,days_purchase,qty_per_day,promo_purchase,ccr
0,830,2018-04-08,2018-11-19,2017-12-18,15,8,1,111.0,0.0720720720720721,0.125,0.533
1,911,2018-06-25,2018-06-25,2017-11-15,6,6,1,222.0,0.027027027027027,0.167,1.000
2,551,2018-07-18,2018-07-18,2016-04-09,9616,9570,100,830.0,11.5301204819277,0.010,0.995
3,803,2018-08-05,2018-08-05,2017-01-09,100,58,8,573.0,0.101221640488656,0.138,0.580
4,518,2018-08-08,2018-12-29,2016-06-04,752,229,123,795.0,0.288050314465409,0.537,0.305
5,368,2018-09-04,2018-12-23,2016-06-04,593,350,1,822.0,0.425790754257908,0.003,0.590
6,866,2018-09-19,2018-12-07,2017-07-14,16,11,4,432.0,0.025462962962963,0.364,0.688
7,519,2018-10-21,2018-12-17,2016-04-04,2218,803,518,930.0,0.863440860215054,0.645,0.362
8,362,2018-10-30,2018-10-30,2016-06-04,87,58,0,878.0,0.0660592255125285,0.000,0.667
9,364,2018-11-21,2018-12-05,2016-06-03,96,54,0,901.0,0.0599334073251942,0.000,0.563
10,358,2018-11-24,2018-11-24,2016-06-02,226,137,0,905.0,0.151381215469613,0.000,0.606
11,511,2018-11-24,2018-12-06,2016-06-16,624,371,8,891.0,0.41638608305275,0.022,0.595
12,360,2018-12-03,2018-12-03,2016-06-10,83,59,1,906.0,0.065121412803532,0.017,0.711
13,833,2018-12-05,2018-12-21,2017-07-16,13,6,2,507.0,0.0118343195266272,0.333,0.462
14,365,2018-12-06,2018-12-06,2016-06-06,92,57,1,913.0,0.0624315443592552,0.018,0.620
15,835,2018-12-08,2018-12-10,2017-02-17,34,26,7,659.0,0.039453717754173,0.269,0.765
16,862,2018-12-08,2018-12-08,2016-12-19,51,41,3,719.0,0.0570236439499305,0.073,0.804
17,865,2018-12-10,2018-12-17,2017-08-14,32,26,7,483.0,0.0538302277432712,0.269,0.813
18,834,2018-12-11,2018-12-11,2017-08-23,23,15,2,475.0,0.0315789473684211,0.133,0.652
19,755,2018-12-12,2018-12-12,2017-02-23,119,92,5,657.0,0.140030441400304,0.054,0.773
20,366,2018-12-13,2018-12-13,2016-06-04,855,515,4,922.0,0.558568329718004,0.008,0.602
21,367,2018-12-15,2018-12-15,2016-06-07,452,297,4,921.0,0.322475570032573,0.013,0.657
22,902,2018-12-16,2018-12-16,2018-05-23,7,5,2,207.0,0.0241545893719807,0.400,0.714
23,664,2018-12-17,2018-12-23,2016-01-14,473,342,14,1068.0,0.320224719101124,0.041,0.723
24,1199,2018-12-17,2018-12-17,2018-08-29,4,2,2,110.0,0.0181818181818182,1.000,0.500
25,800,2018-12-18,2018-12-18,2017-01-31,76,62,8,686.0,0.0903790087463557,0.129,0.816
26,836,2018-12-18,2018-12-18,2018-03-06,13,9,2,287.0,0.0313588850174216,0.222,0.692
27,508,2018-12-21,2018-12-21,2016-11-27,492,265,3,754.0,0.351458885941645,0.011,0.539
28,516,2018-12-21,2018-12-26,2016-06-03,838,630,27,931.0,0.676691729323308,0.043,0.752
29,359,2018-12-24,2018-12-24,2016-06-04,126,79,2,933.0,0.0846730975348339,0.025,0.627
30,1147,2018-12-24,2018-12-26,2017-01-16,122,90,8,707.0,0.127298444130127,0.089,0.738
31,671,2018-12-25,2018-12-25,2017-03-20,122,64,5,645.0,0.0992248062015504,0.078,0.525
32,777,2018-12-25,2018-12-27,2016-12-28,686,499,54,727.0,0.686382393397524,0.108,0.727
33,814,2018-12-25,2018-12-28,2017-01-10,438,342,15,714.0,0.478991596638655,0.044,0.781
34,509,2018-12-26,2018-12-27,2017-01-02,338,206,11,723.0,0.284923928077455,0.053,0.609
35,513,2018-12-26,2018-12-26,2016-12-23,827,507,11,733.0,0.691678035470669,0.022,0.613
36,568,2018-12-26,2018-12-26,2016-11-18,392,284,16,768.0,0.369791666666667,0.056,0.724
37,659,2018-12-26,2018-12-26,2016-07-03,454,311,10,906.0,0.34326710816777,0.032,0.685
38,672,2018-12-26,2018-12-26,2016-06-06,662,380,25,933.0,0.407288317256163,0.066,0.574
39,744,2018-12-26,2018-12-31,2016-12-19,320,198,8,737.0,0.26865671641791,0.040,0.619
40,753,2018-12-26,2018-12-28,2017-01-12,340,220,9,713.0,0.308555399719495,0.041,0.647
41,829,2018-12-26,2018-12-26,2016-12-23,408,355,14,733.0,0.48431105047749,0.039,0.870
42,503,2018-12-27,2018-12-27,2016-06-14,1011,658,21,926.0,0.710583153347732,0.032,0.651
43,552,2018-12-27,2018-12-27,2016-04-26,1184,839,39,975.0,0.860512820512821,0.046,0.709
44,741,2018-12-27,2018-12-30,2016-12-24,621,430,24,733.0,0.586630286493861,0.056,0.692
45,745,2018-12-27,2018-12-31,2016-06-11,2506,2015,92,929.0,2.16899892357374,0.046,0.804
46,749,2018-12-27,2018-12-27,2016-12-23,1380,954,38,734.0,1.29972752043597,0.040,0.691
47,752,2018-12-27,2018-12-31,2016-09-07,1094,815,70,841.0,0.969084423305589,0.086,0.745
48,765,2018-12-27,2018-12-27,2017-01-15,403,296,34,711.0,0.416315049226442,0.115,0.734
49,837,2018-12-27,2018-12-27,2017-07-19,43,31,6,526.0,0.05893536121673,0.194,0.721
50,912,2018-12-27,2018-12-27,2017-02-08,236,213,14,687.0,0.310043668122271,0.066,0.903
51,1140,2018-12-27,2018-12-27,2016-12-23,201,172,15,734.0,0.23433242506812,0.087,0.856
52,1156,2018-12-27,2018-12-27,2016-12-26,255,206,11,731.0,0.281805745554036,0.053,0.808
53,1161,2018-12-27,2018-12-27,2016-12-22,262,206,36,735.0,0.280272108843537,0.175,0.786
